,Name,Rating,Stars,First Ascent,Type,Length (ft),Pitches
0,Tachycardia,5.7,3.6,Matthew Selman,Sport,300,3
1,49,5.12a,3.7,Bill Boyle,Sport,80,1
2,Streak,5.11b,3.6,Boone Speed,Sport,105,1
3,Zoaster Toaster,5.11d,3.5,Bill Boyle,Sport,90,1
4,The Hitchhiker,5.11c,3.5,Darren Knezek,Sport,125,1
5,Tomacco,5.12a,3.5,Tyler Phillips,Sport,60,1
6,Dry Times,5.12a,3.5,unknown,Sport,90,1
7,Dry Spunk,5.11c,3.5,unknown,Sport,85,1
8,Watermelon Sugar,5.12a,3.4,Bill Boyle,Sport,100,1
9,Forbiddance,5.12a,3.4,Bill Boyle,Sport,-,1
10,Taking the Bullet,5.11a,3.4,Bill Boyle,Sport,90,1
11,The Angry Inch,5.11b,3.3,Jared Nielson,Sport,40,1
12,Groundwork,5.11c,3.3,Bill Boyle,Sport,80,1
13,Dr. Goodkind,5.12a,3.2,Bill Boyle,Sport,60,1
14,Key Lime Sky,5.8,3.2,Jason Stevens,Sport,110,1
15,The Great Chasm,5.7,3.1,Jason Stevens,Sport,300,3
16,The Grecian Highway,5.9,3.2,Jason Stevens,Sport,285,3
17,Don't Feed The Monkey,5.7,3.1,Jason Stevens,Sport,95,1
18,Lunchables,5.11d,3.1,Vince Adams,Sport,80,1
19,Pipeline,5.11d,3.1,Jason Stevens,Sport,40,1
20,Peterbilt,5.7,3.1,Jason Stevens,Sport,100,1
21,Bicycle Man,5.10d,3.1,Bill Boyle,Sport,75,1
22,Half Hearted,5.10d,3.1,Bill Boyle,Sport,70,1
23,Crime Scene,5.10+,3.1,Bill Ohran,Sport,60,1
24,Godfrees,5.11b,3.1,Bill Boyle,Sport,50,1
25,Monkey Duodenum,5.9,3,Jason Stevens,Sport,100,1
26,Sweet Pea,5.12a,3,Bill Boyle,Sport,70,1
27,Minienticer,5.9,3,Bill Boyle,Sport,80,1
28,Kissing An Angel,5.10c,3,Jeff Baldwin,Sport,90,1
29,Flak Jacket,5.10a,3,Jason Stevens,Sport,45,1
30,Lip Venom,5.11c,3,Chris Black,Sport,50,1
31,The Horny Thing,5.10b,3,Jason Stevens,Sport,90,1
32,Looking for Yesterday,5.12a,3,Bill Boyle,Sport,80,1
33,Zen Fen,5.9,2.9,Jason Stevens,Sport,60,1
34,Don't Touch the Monkey,5.8+,2.9,Jason Stevens,Sport,85,1
35,245 North,5.10b,2.9,Bill Boyle,Sport,95,1
36,Blunt Arete,5.10b,2.9,Bill Boyle,Sport,60,1
37,Kingpin,5.10a,2.9,Jason Stevens,Sport,80,1
38,Freshly Squeezed,5.12a,2.8,unknown,Sport,40,1
39,The Angel's Share,5.10c,2.8,Jim Stone and Jeff Baldwin,Sport,80,1
40,The Black Water Fall,5.11a,2.8,Dan Snyder,Sport,60,1
41,Afterglow,5.11d,2.8,Bill Boyle,Sport,80,1
42,Zen Master,5.10d,2.8,Bill Boyle,Sport,60,1
43,Le Spunk,5.11d,2.8,unknown,Sport,60,1
44,Meet the Buddha,5.10a,2.8,Bill Boyle,Sport,60,1
45,Excavation,5.11,2.8,Julie Merwin,Sport,70,1
46,Mini Meditation,5.10c,2.7,Dan Snyder,Sport,60,1
47,Turbo Fly,5.8,2.7,Jason Stevens,Sport,70,1
48,Pasties and a G-String,5.11+,2.7,Bill Boyle,Sport,80,1
49,Twelve Tasty Donuts,5.10c,2.7,unknown,Sport,50,1
50,Grip Tease,5.12a,2.9,Bill Boyle,Sport,80,1
51,Honey Bucket,5.11c,2.7,Darren Knezek,Sport,30,1
52,The Tiger's Revenge,5.10d,2.9,Claude Balls,Sport,95,1
53,King Cobble,5.10c,3,Darren and Jennifer Knezek,Sport,90,1
54,Cobble Almighty,5.12a,2.8,D. Knezek,Sport,110,1
55,Ted,5.10b,2.6,Bill Boyle,Sport,60,1
56,Oneida,5.11b,3.4,Jason Stevens,Sport,100,1
57,Listen to Your Dinner,5.8,2.6,Noah Stevens,Sport,70,1
58,An 80/20 Ratio,5.10b,2.6,Jason Stevens,Sport,50,1
59,Big Kahuna,5.10b,2.6,Jason Stevens,Sport,30,1
60,Blackberry,5.10b,2.6,Jeff Baldwin,Sport,90,1
61,Buddha's Belly,5.10a,2.6,unknown,Sport,80,1
62,I'll Make you Famous,5.7,2.6,Jason Stevens,Sport,60,1
63,Full Moon Monkey,5.8+,2.6,Jason Stevens,Sport,70,1
64,The Minister,5.11a/b,2.6,Dan Snyder,Sport,40,1
65,Primate Grooming Procedures,5.8,2.5,Jason Stevens,Sport,70,1
66,Choose Your Weapon,5.9,2.5,Jason Stevens,Sport,70,1
67,Sound the Klaxon,5.10b,2.5,Jason Stevens,Sport,50,1
68,Maple Pickles,5.11a/b,2.5,Bill Boyle,Sport,70,1
